person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25.0,male,2,60829.0,0,RENT,25000.0,HOMEIMPROVEMENT,5.99,0.41,2.0,588,No,1
24.0,male,2,53825.0,2,RENT,25000.0,DEBTCONSOLIDATION,15.33,0.46,2.0,652,No,1
23.0,male,0,60801.0,0,RENT,25000.0,VENTURE,11.83,0.41,4.0,658,No,1
22.0,male,0,60747.0,0,RENT,25000.0,VENTURE,10.36,0.41,2.0,634,No,1
22.0,female,0,61029.0,0,RENT,25000.0,VENTURE,12.23,0.41,3.0,623,No,1
22.0,female,1,63236.0,0,RENT,25000.0,EDUCATION,11.11,0.4,4.0,635,No,1
23.0,female,2,17149.0,0,OWN,4950.0,DEBTCONSOLIDATION,7.9,0.29,4.0,531,No,1
24.0,female,3,265066.0,4,MORTGAGE,25000.0,EDUCATION,11.58,0.09,2.0,665,Yes,0
23.0,male,1,260205.0,2,MORTGAGE,21000.0,DEBTCONSOLIDATION,8.9,0.08,3.0,703,No,0
25.0,female,1,260035.0,5,MORTGAGE,25000.0,EDUCATION,16.07,0.1,3.0,585,Yes,0
26.0,female,2,260444.0,4,MORTGAGE,20000.0,EDUCATION,14.22,0.08,2.0,594,No,0
23.0,male,2,258980.0,0,MORTGAGE,35000.0,MEDICAL,14.79,0.14,3.0,618,Yes,0
26.0,male,0,259081.0,2,MORTGAGE,12000.0,EDUCATION,7.88,0.05,2.0,626,Yes,0
23.0,male,0,63497.0,0,RENT,25000.0,PERSONAL,13.22,0.39,2.0,695,No,1
26.0,female,4,56325.0,2,RENT,25000.0,DEBTCONSOLIDATION,11.86,0.44,4.0,690,No,1
22.0,male,2,64842.0,0,RENT,25000.0,EDUCATION,13.43,0.39,4.0,574,No,1
26.0,female,0,57856.0,0,RENT,25000.0,HOMEIMPROVEMENT,15.28,0.43,2.0,602,No,1
23.0,male,1,57318.0,0,RENT,25000.0,VENTURE,17.93,0.44,2.0,679,No,1
23.0,female,0,16916.0,2,MORTGAGE,1400.0,EDUCATION,9.25,0.08,4.0,615,No,0
21.0,male,3,16664.0,0,OWN,4500.0,VENTURE,12.98,0.27,4.0,601,No,1
22.0,male,1,252803.0,0,MORTGAGE,16000.0,VENTURE,10.62,0.06,4.0,577,Yes,0
26.0,female,1,253061.0,3,OWN,22000.0,PERSONAL,11.83,0.09,4.0,588,Yes,0
26.0,male,2,58602.0,8,RENT,25000.0,VENTURE,18.43,0.43,2.0,595,No,1
22.0,male,0,67012.0,2,RENT,25000.0,EDUCATION,11.01,0.37,4.0,653,No,1
24.0,female,3,66643.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,0.38,4.0,663,No,1
23.0,male,2,66599.0,0,RENT,25000.0,EDUCATION,11.36,0.38,3.0,653,No,1
23.0,male,1,67212.0,2,RENT,25000.0,EDUCATION,15.65,0.37,3.0,598,No,1
24.0,female,0,66918.0,1,RENT,25000.0,PERSONAL,13.22,0.37,4.0,630,No,1
26.0,male,1,68066.0,2,RENT,25000.0,DEBTCONSOLIDATION,12.87,0.37,2.0,637,No,1
24.0,male,1,245545.0,1,OWN,20000.0,MEDICAL,13.04,0.08,3.0,660,Yes,0
23.0,male,1,229083.0,0,MORTGAGE,22000.0,EDUCATION,17.58,0.1,3.0,639,No,1
23.0,male,0,17859.0,0,OWN,7750.0,PERSONAL,17.04,0.43,4.0,626,No,1
24.0,female,1,72608.0,3,RENT,25000.0,PERSONAL,10.99,0.34,3.0,612,No,1
24.0,male,2,73073.0,1,RENT,25000.0,PERSONAL,11.11,0.34,3.0,628,No,1
26.0,female,3,65880.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.83,0.38,2.0,592,No,1
23.0,male,0,17755.0,1,OWN,4000.0,DEBTCONSOLIDATION,11.01,0.23,3.0,580,No,1
24.0,male,2,241180.0,3,RENT,12000.0,MEDICAL,12.69,0.05,2.0,634,No,0
24.0,male,1,240894.0,3,MORTGAGE,12000.0,HOMEIMPROVEMENT,13.49,0.05,2.0,678,No,0
21.0,male,0,240980.0,0,MORTGAGE,16000.0,EDUCATION,14.65,0.07,4.0,557,Yes,0
25.0,male,2,65742.0,3,RENT,25000.0,HOMEIMPROVEMENT,16.82,0.38,4.0,672,No,1
23.0,male,2,72713.0,0,RENT,25000.0,PERSONAL,12.73,0.34,3.0,613,No,1
23.0,male,0,72627.0,3,RENT,25000.0,PERSONAL,10.25,0.34,4.0,566,No,1
21.0,male,1,72843.0,0,RENT,25000.0,EDUCATION,10.99,0.34,4.0,718,No,1
25.0,male,0,75504.0,4,RENT,25000.0,MEDICAL,12.73,0.33,2.0,484,No,1
22.0,female,0,68824.0,0,RENT,25000.0,HOMEIMPROVEMENT,14.96,0.36,3.0,634,No,1
23.0,female,2,241167.0,2,MORTGAGE,28000.0,EDUCATION,11.01,0.12,2.0,653,Yes,0
21.0,male,2,241060.0,0,MORTGAGE,25000.0,DEBTCONSOLIDATION,13.99,0.1,2.0,699,No,0
24.0,male,0,240855.0,0,MORTGAGE,24000.0,VENTURE,7.49,0.1,4.0,656,Yes,0
26.0,male,0,241030.0,3,MORTGAGE,15000.0,EDUCATION,14.79,0.06,3.0,626,Yes,0
25.0,male,0,240895.0,2,MORTGAGE,15500.0,DEBTCONSOLIDATION,11.99,0.06,2.0,659,No,0
24.0,female,0,240932.0,4,RENT,10000.0,EDUCATION,8.49,0.04,4.0,604,Yes,0
24.0,male,1,80145.0,1,RENT,25000.0,EDUCATION,9.91,0.31,2.0,636,No,1
22.0,male,3,80303.0,0,RENT,25000.0,EDUCATION,13.06,0.31,3.0,554,No,1
22.0,male,0,241048.0,0,MORTGAGE,9000.0,DEBTCONSOLIDATION,6.17,0.04,4.0,587,Yes,0
144.0,male,1,241424.0,121,MORTGAGE,6000.0,EDUCATION,11.86,0.02,2.0,807,No,0
25.0,male,2,241005.0,4,RENT,18000.0,EDUCATION,16.32,0.07,3.0,708,Yes,0
25.0,female,3,240768.0,2,MORTGAGE,12000.0,VENTURE,10.38,0.05,2.0,669,Yes,0
25.0,male,1,241201.0,2,MORTGAGE,23050.0,PERSONAL,14.35,0.1,3.0,578,No,0
24.0,male,2,240920.0,5,MORTGAGE,20000.0,DEBTCONSOLIDATION,11.01,0.08,3.0,615,No,0
24.0,female,3,72919.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.34,2.0,553,No,1
21.0,male,3,18008.0,0,OWN,3000.0,HOMEIMPROVEMENT,11.01,0.17,4.0,635,No,1
26.0,female,1,81238.0,3,RENT,25000.0,PERSONAL,15.21,0.31,2.0,531,No,1
23.0,male,0,80868.0,1,RENT,25000.0,EDUCATION,7.9,0.31,4.0,621,No,1
24.0,male,2,81537.0,1,RENT,25000.0,VENTURE,10.99,0.31,3.0,674,No,1
24.0,female,1,82741.0,0,RENT,25000.0,PERSONAL,14.09,0.3,3.0,688,No,1
25.0,female,0,83901.0,3,RENT,25000.0,PERSONAL,17.49,0.3,2.0,597,No,1
25.0,male,1,240717.0,1,MORTGAGE,12000.0,EDUCATION,11.48,0.05,3.0,640,No,0
26.0,female,1,226744.0,0,MORTGAGE,20000.0,VENTURE,17.74,0.09,2.0,621,No,1
26.0,female,2,241114.0,5,MORTGAGE,3000.0,PERSONAL,13.92,0.01,3.0,608,Yes,0
25.0,male,2,85284.0,3,RENT,25000.0,EDUCATION,15.21,0.29,3.0,653,No,1
22.0,female,2,18152.0,0,OWN,4000.0,MEDICAL,10.99,0.22,3.0,585,No,1
24.0,female,0,84871.0,3,RENT,25000.0,EDUCATION,11.86,0.29,4.0,569,No,1
24.0,male,2,18294.0,2,OWN,6000.0,PERSONAL,7.49,0.33,3.0,587,No,1
24.0,male,2,68029.0,1,RENT,25000.0,MEDICAL,16.49,0.37,4.0,631,No,1
25.0,female,0,80001.0,4,RENT,25000.0,VENTURE,15.33,0.31,2.0,592,No,1
26.0,female,0,79875.0,6,RENT,25000.0,HOMEIMPROVEMENT,11.58,0.31,4.0,679,No,1
25.0,male,0,18449.0,1,OWN,5375.0,EDUCATION,5.79,0.29,2.0,645,No,1
25.0,male,1,88153.0,0,RENT,25000.0,MEDICAL,13.11,0.28,2.0,669,No,1
23.0,female,2,90109.0,0,RENT,25000.0,MEDICAL,10.36,0.28,3.0,653,No,1
25.0,male,2,90938.0,1,RENT,25000.0,DEBTCONSOLIDATION,10.36,0.27,2.0,577,No,1
24.0,male,0,231335.0,0,RENT,22000.0,MEDICAL,11.01,0.1,2.0,668,Yes,0
21.0,male,2,231829.0,0,MORTGAGE,20000.0,VENTURE,6.54,0.09,4.0,629,No,0
25.0,female,1,230516.0,4,MORTGAGE,10000.0,MEDICAL,12.53,0.04,4.0,643,No,0
26.0,male,2,229626.0,0,MORTGAGE,15000.0,PERSONAL,11.01,0.07,3.0,626,No,0
22.0,male,2,228907.0,0,MORTGAGE,10000.0,VENTURE,11.01,0.04,3.0,560,Yes,0
24.0,male,2,90938.0,0,RENT,25000.0,EDUCATION,10.25,0.27,4.0,648,No,1
22.0,male,1,86284.0,0,RENT,25000.0,EDUCATION,15.95,0.29,4.0,648,No,1
26.0,male,1,228774.0,3,MORTGAGE,20000.0,VENTURE,12.18,0.09,4.0,669,Yes,0
23.0,male,0,229027.0,2,OWN,24000.0,PERSONAL,11.83,0.1,3.0,536,Yes,0
23.0,male,0,94789.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.26,2.0,548,No,1
23.0,female,3,94780.0,0,RENT,25000.0,VENTURE,10.62,0.26,3.0,667,No,1
23.0,male,0,95298.0,0,RENT,25000.0,VENTURE,10.74,0.26,3.0,676,No,1
25.0,male,1,223944.0,1,OWN,10000.0,VENTURE,10.25,0.04,4.0,570,Yes,0
24.0,male,0,222629.0,0,MORTGAGE,35000.0,EDUCATION,12.42,0.16,2.0,623,No,0
25.0,female,2,222973.0,2,RENT,15000.0,VENTURE,15.27,0.07,2.0,652,Yes,0
24.0,female,0,75240.0,1,RENT,25000.0,MEDICAL,15.33,0.33,2.0,625,No,1
23.0,female,0,96143.0,1,RENT,25000.0,VENTURE,15.21,0.26,2.0,642,No,1
21.0,male,2,18064.0,0,OWN,6250.0,VENTURE,14.72,0.35,2.0,580,No,1
24.0,male,1,96627.0,2,RENT,25000.0,PERSONAL,15.7,0.26,2.0,622,No,1
24.0,male,2,96309.0,3,RENT,25000.0,EDUCATION,13.35,0.26,4.0,581,No,1
21.0,female,0,18421.0,1,MORTGAGE,1500.0,MEDICAL,11.01,0.08,4.0,623,No,0
24.0,male,3,96836.0,1,RENT,25000.0,EDUCATION,6.62,0.26,2.0,583,No,1
26.0,male,2,96947.0,4,RENT,25000.0,DEBTCONSOLIDATION,13.61,0.26,4.0,645,No,1
22.0,female,1,222975.0,2,RENT,25000.0,MEDICAL,11.36,0.11,2.0,593,Yes,0
26.0,male,1,222985.0,3,OWN,5000.0,PERSONAL,7.68,0.02,2.0,659,Yes,0
24.0,female,2,223064.0,0,RENT,22000.0,HOMEIMPROVEMENT,14.46,0.1,4.0,655,Yes,0
23.0,male,1,221559.0,2,OWN,2500.0,EDUCATION,11.83,0.01,2.0,583,Yes,0
24.0,female,1,207712.0,0,MORTGAGE,20000.0,DEBTCONSOLIDATION,13.47,0.1,4.0,582,No,1
24.0,female,2,220872.0,1,MORTGAGE,20000.0,MEDICAL,11.49,0.09,3.0,504,Yes,0
22.0,male,0,220518.0,0,MORTGAGE,1000.0,EDUCATION,11.01,0.0,2.0,551,Yes,0
25.0,female,1,220510.0,1,MORTGAGE,15000.0,PERSONAL,6.03,0.07,3.0,529,Yes,0
23.0,female,2,89818.0,0,RENT,25000.0,DEBTCONSOLIDATION,16.35,0.28,4.0,674,No,1
26.0,female,0,90006.0,4,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.28,4.0,595,No,1
25.0,female,0,98704.0,6,RENT,25000.0,DEBTCONSOLIDATION,7.29,0.25,3.0,597,No,1
23.0,male,0,98967.0,5,RENT,25000.0,MEDICAL,11.36,0.25,3.0,566,No,1
24.0,male,0,99435.0,3,RENT,25000.0,VENTURE,10.25,0.25,2.0,666,No,0
24.0,female,2,100658.0,1,RENT,25000.0,EDUCATION,11.12,0.25,3.0,695,No,0
24.0,female,2,100435.0,2,RENT,25000.0,PERSONAL,12.92,0.25,3.0,576,Yes,0
24.0,male,0,216925.0,5,RENT,18000.0,EDUCATION,18.64,0.08,4.0,651,Yes,0
23.0,female,2,216891.0,0,MORTGAGE,28000.0,PERSONAL,7.51,0.13,3.0,633,Yes,0
23.0,male,3,18512.0,1,OWN,4000.0,HOMEIMPROVEMENT,16.7,0.22,2.0,566,No,1
22.0,male,3,18367.0,0,OWN,2100.0,PERSONAL,11.14,0.11,4.0,583,No,0
22.0,female,1,102317.0,0,RENT,25000.0,PERSONAL,18.3,0.24,4.0,586,Yes,0
24.0,female,1,103400.0,4,RENT,25000.0,MEDICAL,10.62,0.24,4.0,592,Yes,0
24.0,male,2,217134.0,2,MORTGAGE,14000.0,VENTURE,11.99,0.06,2.0,598,Yes,0
26.0,male,3,217024.0,1,MORTGAGE,12000.0,VENTURE,9.63,0.06,4.0,637,Yes,0
25.0,female,0,172215.0,5,MORTGAGE,10000.0,MEDICAL,18.25,0.06,4.0,628,No,1
23.0,male,3,18831.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.01,0.32,4.0,667,No,1
24.0,male,1,105349.0,5,RENT,25000.0,HOMEIMPROVEMENT,14.84,0.24,3.0,621,Yes,0
24.0,male,2,91184.0,1,RENT,25000.0,VENTURE,14.7,0.27,3.0,668,No,1
23.0,female,0,91886.0,1,RENT,25000.0,DEBTCONSOLIDATION,16.02,0.27,4.0,544,No,1
23.0,male,1,80452.0,2,RENT,25000.0,MEDICAL,15.37,0.31,2.0,699,No,1
25.0,female,2,108758.0,2,RENT,25000.0,MEDICAL,10.99,0.23,4.0,611,No,0
21.0,male,1,18916.0,0,OWN,6200.0,HOMEIMPROVEMENT,7.9,0.33,2.0,615,No,1
26.0,female,0,217234.0,5,OWN,25000.0,PERSONAL,10.99,0.12,4.0,559,Yes,0
